iter	MAE
1466	617975.5321
1467	617893.3621
1468	617881.7504
1469	617850.2558
1470	617770.4549
1471	617707.2085
1472	617654.8993
1473	617609.9758
1474	617504.8332
1475	617439.7221
1476	617407.1502
1477	617368.975
1478	617332.256
1479	617272.9197
1480	617178.0543
1481	617143.4963
1482	616977.6199
1483	616950.3689
1484	616904.5434
1485	616828.6234
1486	616762.2303
1487	616699.5005
1488	616625.9705
1489	616577.8528
1490	616529.6609
1491	616509.0429
1492	616438.3369
1493	616375.0991
1494	616326.2052
1495	616277.6775
1496	616252.8943
1497	616147.0695
1498	616117.161
1499	616063.2075
1500	615999.1361
1501	615973.7178
1502	615830.5815
1503	615734.2179
1504	615623.7973
1505	615590.7836
1506	615561.6489
1507	615496.4829
1508	615466.7718
1509	615356.6046
1510	615250.716
1511	615195.4232
1512	615159.7748
1513	615134.8907
1514	615115.9739
1515	615071.5382
1516	615027.835
1517	614972.455
1518	614939.6723
1519	614910.9094
1520	614855.8403
1521	614785.2367
1522	614754.4852
1523	614656.1933
1524	614604.2586
1525	614575.9629
1526	614535.6333
1527	614470.7131
1528	614448.5337
1529	614407.1965
1530	614305.6784
1531	614247.518
1532	614212.9157
1533	614131.0977
1534	614109.8991
1535	614094.1843
1536	614049.648
1537	613999.7522
1538	613932.1672
1539	613884.0335
1540	613835.6228
1541	613698.153
1542	613672.661
1543	613654.3389
1544	613635.4363
1545	613552.5368
1546	613518.7923
1547	613448.2547
1548	613430.543
1549	613334.9045
1550	613237.2202
1551	613199.8859
1552	613108.5491
1553	613022.3206
1554	612998.6234
1555	612949.2953
1556	612923.7631
1557	612871.4053
1558	612810.9263
1559	612743.7067
1560	612711.4933
1561	612676.5022
1562	612638.9505
1563	612588.5836
1564	612580.0945
1565	612503.0406
1566	612463.663
1567	612431.5997
1568	612336.4296
1569	612230.9343
1570	612184.9523
1571	612154.692
1572	612109.9824
1573	612099.7758
1574	612059.9098
1575	612005.0791
1576	611966.9629
1577	611932.7981
1578	611908.8444
1579	611871.6806
1580	611844.5234
1581	611819.8932
1582	611776.9633
1583	611701.0769
1584	611672.6975
1585	611607.7532
1586	611581.3139
1587	611540.6437
1588	611508.5457
1589	611491.2366
1590	611385.1521
1591	611367.7891
1592	611280.4379
1593	611254.0036
1594	611182.5935
1595	611108.0708
1596	611084.8616
1597	611076.464
1598	610980.8199
1599	610905.2397
1600	610872.0853
1601	610852.3609
1602	610756.8625
1603	610711.2913
1604	610668.7456
1605	610597.4899
1606	610583.4653
1607	610554.6488
1608	610506.9951
1609	610452.7924
1610	610418.3466
1611	610398.2316
1612	610349.1177
1613	610313.5721
1614	610254.0312
1615	610184.1141
1616	610116.7551
1617	610069.7989
1618	610035.4195
1619	610029.5043
1620	609954.742
1621	609917.3751
1622	609873.9472
1623	609847.5867
1624	609759.2042
1625	609749.6169
1626	609727.8377
1627	609616.6539
1628	609580.6283
1629	609529.5641
1630	609449.1348
1631	609389.6014
1632	609305.0612
1633	609255.8539
1634	609241.9561
1635	609221.6824
1636	609174.7156
1637	609122.5249
1638	609107.6081
1639	609091.3616
1640	609044.7038
1641	608918.4966
1642	608894.2787
1643	608837.205
1644	608804.0122
1645	608770.832
1646	608744.8455
1647	608685.7083
1648	608665.3614
1649	608624.2163
1650	608580.2902
1651	608537.9572
1652	608496.5637
1653	608460.0796
1654	608388.5584
1655	608337.2335
1656	608323.9309
1657	608292.3452
1658	608259.1737
1659	608209.1761
1660	608167.4676
1661	608136.302
1662	608115.377
1663	608094.189
1664	608051.0022
1665	608032.6286
1666	607972.0631
1667	607936.3997
1668	607899.4492
1669	607856.0476
1670	607817.2051
1671	607804.9988
1672	607758.1741
1673	607720.2962
1674	607635.1576
1675	607581.2251
1676	607548.8783
1677	607507.1352
